Code Ana;Analyte;Anonymat;Controle;Unite;Tech;App;Tri;Resultat;Effectif pairs;Cible pairs;ET pairs;Biais % pairs;Biais |c| pairs;z score pairs;Note pairs;Effectif ens;Cible ens;ET ens;Biais % ens;Biais |c| ens;z score ens;Note ens;Date;LA %;Opérateur
RAU;Anti-PF4 : Ratio;1952;25HT03;U/mL;G2;PG5;XX;3,59;;;;;;;*;;;;;;;;25/06/2025;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;25HT04;U/mL;G2;PG5;XX;6,61;;;;;;;*;;;;;;;;25/06/2025;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;25HT05;U/mL;G2;PG5;XX;3,25;;;;;;;*;;;;;;;;17/09/2025;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;25HT06;U/mL;G2;PG5;XX;0,04;;;;;;;*;;;;;;;;17/09/2025;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;25HT07;U/mL;G2;PG5;XX;0,05;;;;;;;*;;;;;;;;29/10/2025;42,4;Célia VAURY
RAU;Anti-PF4 : Ratio;1952;25HT08;U/mL;G2;PG5;XX;3,67;;;;;;;*;;;;;;;;29/10/2025;42,4;Célia VAURY
RUM;Anti-PF4 : Résultat;1952;25HT01;U/mL;G2;PG5;XX;0,46;;;;;;;*;;;;;;;;19/03/2025;30,0;Marie BRIONNE-FRANCOIS
RUM;Anti-PF4 : Résultat;1952;25HT02;U/mL;G2;PG5;XX;11,45;;;;;;;*;;;;;;;;19/03/2025;30,0;Marie BRIONNE-FRANCOIS
RUM;Anti-PF4 : Résultat;1952;25HT03;U/mL;G2;PG5;XX;3,59;;;;;;;*;;;;;;;;25/06/2025;30,0;Marie BRIONNE-FRANCOIS
RUM;Anti-PF4 : Résultat;1952;25HT04;U/mL;G2;PG5;XX;6,61;;;;;;;*;;;;;;;;25/06/2025;30,0;Marie BRIONNE-FRANCOIS
RUM;Anti-PF4 : Résultat;1952;25HT05;U/mL;G2;PG5;XX;3,25;;;;;;;*;;;;;;;;17/09/2025;30,0;Marie BRIONNE-FRANCOIS
RUM;Anti-PF4 : Résultat;1952;25HT06;U/mL;G2;PG5;XX;0,04;;;;;;;*;;;;;;;;17/09/2025;30,0;Marie BRIONNE-FRANCOIS
RUM;Anti-PF4 : Résultat;1952;25HT07;U/mL;G2;PG5;XX;0,05;;;;;;;*;;;;;;;;29/10/2025;30,0;Célia VAURY
RUM;Anti-PF4 : Résultat;1952;25HT08;U/mL;G2;PG5;XX;3,67;;;;;;;*;;;;;;;;29/10/2025;30,0;Célia VAURY
SUM;Anti-PF4 : Seuil;1952;25HT01;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;19/03/2025;30,0;Marie BRIONNE-FRANCOIS
SUM;Anti-PF4 : Seuil;1952;25HT02;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;19/03/2025;30,0;Marie BRIONNE-FRANCOIS
SUM;Anti-PF4 : Seuil;1952;25HT03;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;25/06/2025;30,0;Marie BRIONNE-FRANCOIS
SUM;Anti-PF4 : Seuil;1952;25HT04;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;25/06/2025;30,0;Marie BRIONNE-FRANCOIS
SUM;Anti-PF4 : Seuil;1952;25HT05;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;17/09/2025;30,0;Marie BRIONNE-FRANCOIS
SUM;Anti-PF4 : Seuil;1952;25HT06;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;17/09/2025;30,0;Marie BRIONNE-FRANCOIS
SUM;Anti-PF4 : Seuil;1952;25HT07;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;29/10/2025;30,0;Célia VAURY
SUM;Anti-PF4 : Seuil;1952;25HT08;U/mL;G2;PG5;XX;1,00;;;;;;;*;;;;;;;;29/10/2025;30,0;Célia VAURY
A3;Antithrombine activité;1952;25HA01;%;W8;PB7;XX;97;15;90,7;5,8;6,9;6,3;1,0;B+;266;93,7;5,5;3,5;3,3;0,6;TB;22/01/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA01;%;W8;PB7;XX;81;15;90,7;5,8;-10,7;-9,7;-1,6;B-;266;93,7;5,5;-13,6;-12,7;-2,3;-1;22/01/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA02;%;W8;PB7;XX;46;15;40,3;5,1;14,1;5,7;1,1;B+;263;41,4;4,6;11,1;4,6;1,0;B+;22/01/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA02;%;W8;PB7;XX;32;15;40,3;5,1;-20,6;-8,3;-1,5;-1;263;41,4;4,6;-22,7;-9,4;-2,0;-1;22/01/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA05;%;W8;PB7;XX;76;16;73,6;2,6;3,3;2,4;0,9;TB;273;77,8;4,8;-2,3;-1,8;-0,4;TB;19/03/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA05;%;W8;PB7;XX;77;16;73,6;2,6;4,6;3,4;1,2;TB;273;77,8;4,8;-1,0;-0,8;-0,2;TB;19/03/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA06;%;W8;PB7;XX;41;16;39,8;2,5;3,0;1,2;0,5;TB;270;41,8;4,4;-1,9;-0,8;-0,2;TB;19/03/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA06;%;W8;PB7;XX;42;16;39,8;2,5;5,5;2,2;0,9;TB;270;41,8;4,4;0,5;0,2;0,0;TB;19/03/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA09;%;W8;PB7;XX;91;18;90,8;3,8;0,2;0,2;0,1;TB;274;94,3;4,8;-3,5;-3,3;-0,7;TB;14/05/2025;12,0;Maud LEBAS
A3;Antithrombine activité;1952A;25HA09;%;W8;PB7;XX;88;18;90,8;3,8;-3,1;-2,8;-0,7;TB;274;94,3;4,8;-6,7;-6,3;-1,3;B-;14/05/2025;12,0;Maud LEBAS
A3;Antithrombine activité;1952;25HA10;%;W8;PB7;XX;73;18;74,1;4,9;-1,5;-1,1;-0,2;TB;272;77,9;5,0;-6,3;-4,9;-1,0;B-;14/05/2025;12,0;Maud LEBAS
A3;Antithrombine activité;1952A;25HA10;%;W8;PB7;XX;69;18;74,1;4,9;-6,9;-5,1;-1,0;B-;272;77,9;5,0;-11,4;-8,9;-1,8;B-;14/05/2025;12,0;Maud LEBAS
A3;Antithrombine activité;1952;25HA13;%;W8;PB7;XX;95;20;92,4;4,1;2,8;2,6;0,6;TB;269;94,7;4,8;0,3;0,3;0,1;TB;09/07/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA13;%;W8;PB7;XX;88;20;92,4;4,1;-4,8;-4,4;-1,0;TB;269;94,7;4,8;-7,1;-6,7;-1,4;B-;09/07/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA14;%;W8;PB7;XX;40;20;40,7;3,6;-1,7;-0,7;-0,2;TB;268;41,7;4,1;-4,1;-1,7;-0,4;TB;09/07/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA14;%;W8;PB7;XX;37;20;40,7;3,6;-9,1;-3,7;-1,0;B-;268;41,7;4,1;-11,3;-4,7;-1,2;B-;09/07/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA17;%;W8;PB7;XX;115;16;104,2;5,1;10,4;10,8;2,0;B+;270;104,2;4,4;10,4;10,8;2,4;B+;01/10/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA17;%;W8;PB7;XX;104;16;104,2;5,1;-0,2;-0,2;0,0;TB;270;104,2;4,4;-0,2;-0,2;0,0;TB;01/10/2025;12,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952;25HA18;%;W8;PB7;XX;44;18;42,3;4,0;4,0;1,7;0,4;TB;270;42,3;3,8;4,0;1,7;0,4;TB;01/10/2025;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;25HA18;%;W8;PB7;XX;40;18;42,3;4,0;-5,4;-2,3;-0,6;TB;270;42,3;3,8;-5,4;-2,3;-0,6;TB;01/10/2025;15,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952;25HN01;µg/L;W5;PB7;XX;66,88;14;64,8;4,2;3,2;2,1;0,5;TB;218;65,0;5,6;2,9;1,9;0,3;TB;02/04/2025;20,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952A;25HN01;µg/L;W5;PB7;XX;67;14;64,8;4,2;3,4;2,2;0,5;TB;218;65,0;5,6;3,1;2,0;0,4;TB;02/04/2025;20,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952;25HN02;µg/L;W5;PB7;XX;177,08;12;187,2;9,9;-5,4;-10,1;-1,0;TB;216;214,7;11,7;-17,5;-37,6;-3,2;-1;02/04/2025;12,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952A;25HN02;µg/L;W5;PB7;XX;191,18;12;187,2;9,9;2,1;4,0;0,4;TB;216;214,7;11,7;-11,0;-23,5;-2,0;B-;02/04/2025;12,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952;25HN03;µg/L;W5;PB7;XX;172;17;186,0;8,7;-7,5;-14,0;-1,5;B-;219;215,1;12,4;-20,0;-43,1;-3,5;-1;02/07/2025;12,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952A;25HN03;µg/L;W5;PB7;XX;134,5;17;186,0;8,7;-27,7;-51,5;-5,7;-2;219;215,1;12,4;-37,5;-80,6;-6,5;-3;02/07/2025;12,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952;25HN04;µg/L;W5;PB7;XX;179,2;13;178,7;13,8;0,3;0,5;0,0;TB;216;216,3;10,9;-17,2;-37,1;-3,4;-1;24/09/2025;12,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952A;25HN04;µg/L;W5;PB7;XX;163,7;13;178,7;13,8;-8,4;-15,0;-1,0;B-;216;216,3;10,9;-24,3;-52,6;-4,8;-2;24/09/2025;12,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952;25HN05;µg/L;W5;PB7;XX;59,5;17;64,2;6,1;-7,3;-4,7;-0,7;TB;220;65,2;5,7;-8,7;-5,7;-1,0;TB;24/09/2025;20,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952A;25HN05;µg/L;W5;PB7;XX;64,4;17;64,2;6,1;0,3;0,2;0,0;TB;220;65,2;5,7;-1,2;-0,8;-0,1;TB;24/09/2025;20,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952;25HN06;µg/L;W5;PB7;XX;55,01;17;64,7;7,3;-15,0;-9,7;-1,3;B-;223;64,9;6,5;-15,2;-9,9;-1,5;B-;29/10/2025;20,0;Marie BRIONNE-FRANCOIS
AX;Apixaban;1952A;25HN06;µg/L;W5;PB7;XX;65,69;17;64,7;7,3;1,5;1,0;0,1;TB;223;64,9;6,5;1,2;0,8;0,1;TB;29/10/2025;20,0;Marie BRIONNE-FRANCOIS
CEL;Autres cellules;1952;25BZ01;%;;XXX;XX;62,0;;;;;;;*;104;40,43;14,31;53,4;21,57;1,5;TB;12/03/2025;0,0;Edouard CORNET
CEL;Autres cellules;1952B;25BZ01;%;;XXX;XX;47,0;;;;;;;*;104;40,43;14,31;16,3;6,57;0,5;TB;12/03/2025;0,0;Pauline KERNEVES
CEL;Autres cellules;1952C;25BZ01;%;;XXX;XX;53,0;;;;;;;*;104;40,43;14,31;31,1;12,57;0,9;TB;12/03/2025;0,0;Carole GEARA-TESSON
CEL;Autres cellules;1952D;25BZ01;%;;XXX;XX;54,0;;;;;;;*;104;40,43;14,31;33,6;13,57;0,9;TB;12/03/2025;0,0;Dina NAGUIB
CEL;Autres cellules;1952E;25BZ01;%;;XXX;XX;45,0;;;;;;;*;104;40,43;14,31;11,3;4,57;0,3;TB;12/03/2025;0,0;Elsa MAITRE
CEL;Autres cellules;1952F;25BZ01;%;;XXX;XX;54,0;;;;;;;*;104;40,43;14,31;33,6;13,57;0,9;TB;12/03/2025;0,0;Coralie NECTOUX
CEL;Autres cellules;1952A;25BZ02;%;;XXX;XX;0;;;;;;;*;95;0,11;0,96;-99,1;-0,11;-0,1;TB;04/06/2025;0,0;Edouard CORNET
CEL;Autres cellules;1952B;25BZ02;%;;XXX;XX;28,0;;;;;;;*;95;0,11;0,96;25354,5;27,89;29,2;+1;04/06/2025;0,0;Pauline KERNEVES
CEL;Autres cellules;1952C;25BZ02;%;;XXX;XX;0;;;;;;;*;95;0,11;0,96;-99,1;-0,11;-0,1;TB;04/06/2025;0,0;Carole GEARA-TESSON
CEL;Autres cellules;1952E;25BZ02;%;;XXX;XX;0;;;;;;;*;95;0,11;0,96;-99,1;-0,11;-0,1;TB;04/06/2025;0,0;Elsa MAITRE
CEL;Autres cellules;1952F;25BZ02;%;;XXX;XX;0;;;;;;;*;95;0,11;0,96;-99,1;-0,11;-0,1;TB;04/06/2025;0,0;Coralie NECTOUX
CEL;Autres cellules;1952A;25BZ03;%;;XXX;XX;0;;;;;;;*;102;;;;;;TB;10/09/2025;0,0;Edouard CORNET
CEL;Autres cellules;1952B;25BZ03;%;;XXX;XX;0;;;;;;;*;102;;;;;;TB;10/09/2025;0,0;Pauline KERNEVES
CEL;Autres cellules;1952C;25BZ03;%;;XXX;XX;0;;;;;;;*;102;;;;;;TB;10/09/2025;0,0;Carole GEARA-TESSON
CEL;Autres cellules;1952D;25BZ03;%;;XXX;XX;0;;;;;;;*;102;;;;;;TB;10/09/2025;0,0;Dina NAGUIB
CEL;Autres cellules;1952E;25BZ03;%;;XXX;XX;0;;;;;;;*;102;;;;;;TB;10/09/2025;0,0;Elsa MAITRE
CEL;Autres cellules;1952F;25BZ03;%;;XXX;XX;0;;;;;;;*;102;;;;;;TB;10/09/2025;0,0;Coralie NECTOUX
CEL;Autres cellules;1952A;25BZ04;%;;XXX;XX;89,0;;;;;;;*;93;93,95;3,15;-5,3;-4,95;-1,6;-1;15/10/2025;0,0;Edouard CORNET
CEL;Autres cellules;1952B;25BZ04;%;;XXX;XX;91,0;;;;;;;*;93;93,95;3,15;-3,1;-2,95;-0,9;TB;15/10/2025;0,0;Pauline KERNEVES
CEL;Autres cellules;1952C;25BZ04;%;;XXX;XX;92,0;;;;;;;*;93;93,95;3,15;-2,1;-1,95;-0,6;TB;15/10/2025;0,0;Carole GEARA-TESSON
CEL;Autres cellules;1952D;25BZ04;%;;XXX;XX;94,0;;;;;;;*;93;93,95;3,15;0,1;0,05;0,0;TB;15/10/2025;0,0;Dina NAGUIB
CEL;Autres cellules;1952E;25BZ04;%;;XXX;XX;95,0;;;;;;;*;93;93,95;3,15;1,1;1,05;0,3;TB;15/10/2025;0,0;Elsa MAITRE
CEL;Autres cellules;1952F;25BZ04;%;;XXX;XX;0;;;;;;;*;93;93,95;3,15;-100,0;-93,95;-29,8;-1;15/10/2025;0,0;Coralie NECTOUX
VB;Autres variants de l'Hb;1952;25BJ01;%;;;;0,0;;;;;;;*;;;;;;;;03/03/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952A;25BJ01;%;;;;0,0;;;;;;;*;;;;;;;;03/03/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952;25BJ02;%;K2;9GY;XX;36,64;12;;;;;;*;158;;;;;;;26/05/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952A;25BJ02;%;J4;VMI;XX;24,3;97;24,53;0,47;-0,9;-0,23;-0,5;TB;158;;;;;;;26/05/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952;25BJ03;%;K2;9GY;XX;80,97;12;;;;;;*;155;;;;;;;26/05/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952A;25BJ03;%;J4;VMI;XX;55,8;95;56,06;0,75;-0,5;-0,26;-0,3;TB;155;;;;;;;26/05/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952;25BJ04;%;K2;9GY;XX;0;;;;;;;*;;;;;;;;08/09/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952A;25BJ04;%;J4;VMI;XX;0;;;;;;;*;;;;;;;;08/09/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952;25BJ05;%;K2;9GY;XX;0;;;;;;;*;;;;;;;;08/09/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952A;25BJ05;%;J4;VMI;XX;0;;;;;;;*;;;;;;;;08/09/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952;25BJ06;%;K2;9GY;XX;0;;;;;;;*;;;;;;;;03/11/2025;10,0;Marie BRIONNE-FRANCOIS
VB;Autres variants de l'Hb;1952A;25BJ06;%;J4;VMI;XX;0;;;;;;;*;;;;;;;;03/11/2025;10,0;Marie BRIONNE-FRANCOIS
H9;CCMH;1952;25HD01;g/L;XX;NK9;XX;337;635;336,7;6,9;0,1;0,3;0,0;TB;;;;;;;;09/06/2025;5,0;Agnès LEONARD
H9;CCMH;1952A;25HD01;g/L;XX;NK9;XX;333;635;336,7;6,9;-1,1;-3,7;-0,5;TB;;;;;;;;09/06/2025;5,0;Agnès LEONARD
H9;CCMH;1952B;25HD01;g/L;XX;NK9;XX;340;635;336,7;6,9;1,0;3,3;0,5;TB;;;;;;;;09/06/2025;5,0;Agnès LEONARD
H9;CCMH;1952;25HD02;g/L;XX;NK9;XX;346;638;349,7;5,6;-1,1;-3,7;-0,7;TB;;;;;;;;09/06/2025;5,0;Agnès LEONARD
H9;CCMH;1952A;25HD02;g/L;XX;NK9;XX;344;638;349,7;5,6;-1,6;-5,7;-1,0;TB;;;;;;;;09/06/2025;5,0;Agnès LEONARD
H9;CCMH;1952B;25HD02;g/L;XX;NK9;XX;349;638;349,7;5,6;-0,2;-0,7;-0,1;TB;;;;;;;;09/06/2025;5,0;Agnès LEONARD
H9;CCMH;1952;25HD03;g/L;XX;NK9;XX;326;612;335,2;6,8;-2,7;-9,2;-1,4;B-;;;;;;;;07/07/2025;5,0;Agnès LEONARD, Céline BOSSARD
H9;CCMH;1952A;25HD03;g/L;XX;NK9;XX;326;612;335,2;6,8;-2,7;-9,2;-1,4;B-;;;;;;;;07/07/2025;5,0;Céline BOSSARD
H9;CCMH;1952B;25HD03;g/L;XX;NK9;XX;340;612;335,2;6,8;1,4;4,8;0,7;TB;;;;;;;;07/07/2025;5,0;Céline BOSSARD
H9;CCMH;1952;25HD04;g/L;XX;NK9;XX;352;614;353,2;5,8;-0,3;-1,2;-0,2;TB;;;;;;;;07/07/2025;5,0;Agnès LEONARD, Céline BOSSARD
H9;CCMH;1952A;25HD04;g/L;XX;NK9;XX;347;614;353,2;5,8;-1,8;-6,2;-1,1;TB;;;;;;;;07/07/2025;5,0;Céline BOSSARD
H9;CCMH;1952B;25HD04;g/L;XX;NK9;XX;352;614;353,2;5,8;-0,3;-1,2;-0,2;TB;;;;;;;;07/07/2025;5,0;Céline BOSSARD
H9;CCMH;1952;25HD05;g/L;XX;NKR;XX;339;85;338,6;5,8;0,1;0,4;0,1;TB;;;;;;;;20/10/2025;5,0;Céline BOSSARD, Lucile DEOLIERE
H9;CCMH;1952A;25HD05;g/L;XX;NKR;XX;332;85;338,6;5,8;-1,9;-6,6;-1,1;TB;;;;;;;;20/10/2025;5,0;Céline BOSSARD
H9;CCMH;1952B;25HD05;g/L;XX;NKR;XX;337;85;338,6;5,8;-0,5;-1,6;-0,3;TB;;;;;;;;20/10/2025;5,0;Céline BOSSARD, Lucile DEOLIERE
H9;CCMH;1952;25HD06;g/L;XX;NKR;XX;348;85;343,9;4,9;1,2;4,1;0,8;TB;;;;;;;;20/10/2025;5,0;Céline BOSSARD, Lucile DEOLIERE
H9;CCMH;1952A;25HD06;g/L;XX;NKR;XX;340;85;343,9;4,9;-1,1;-3,9;-0,8;TB;;;;;;;;20/10/2025;5,0;Céline BOSSARD
H9;CCMH;1952B;25HD06;g/L;XX;NKR;XX;343;85;343,9;4,9;-0,3;-0,9;-0,2;TB;;;;;;;;20/10/2025;5,0;Céline BOSSARD, Lucile DEOLIERE
H9;CCMH;1952;25HD07;g/L;XX;NKR;XX;350;85;349,9;4,5;0,0;0,1;0,0;TB;;;;;;;;10/11/2025;5,0;Céline BOSSARD
H9;CCMH;1952A;25HD07;g/L;XX;NKR;XX;350;85;349,9;4,5;0,0;0,1;0,0;TB;;;;;;;;10/11/2025;5,0;Céline BOSSARD
H9;CCMH;1952B;25HD07;g/L;XX;NKR;XX;350;85;349,9;4,5;0,0;0,1;0,0;TB;;;;;;;;10/11/2025;5,0;Céline BOSSARD
H9;CCMH;1952;25HD08;g/L;XX;NKR;XX;345;85;341,8;6,9;0,9;3,2;0,5;TB;;;;;;;;10/11/2025;5,0;Céline BOSSARD
H9;CCMH;1952A;25HD08;g/L;XX;NKR;XX;341;85;341,8;6,9;-0,2;-0,8;-0,1;TB;;;;;;;;10/11/2025;5,0;Céline BOSSARD
H9;CCMH;1952B;25HD08;g/L;XX;NKR;XX;343;85;341,8;6,9;0,4;1,2;0,2;TB;;;;;;;;10/11/2025;5,0;Céline BOSSARD
H9;CCMH;1952;25HDF2;g/L;XX;NK9;XX;354;280;357,3;6,0;-0,9;-3,3;-0,5;TB;424;355,3;6,9;-0,4;-1,3;-0,2;TB;03/03/2025;5,0;Romain BLOTTIERE
H9;CCMH;1952A;25HDF2;g/L;XX;NK9;XX;352;280;357,3;6,0;-1,5;-5,3;-0,9;TB;424;355,3;6,9;-0,9;-3,3;-0,5;TB;03/03/2025;5,0;Romain BLOTTIERE
H9;CCMH;1952B;25HDF2;g/L;XX;NK9;XX;352;280;357,3;6,0;-1,5;-5,3;-0,9;TB;424;355,3;6,9;-0,9;-3,3;-0,5;TB;03/03/2025;5,0;Romain BLOTTIERE
H9;CCMH;1952;25HDF4;g/L;XX;NK9;XX;344;269;354,6;6,1;-3,0;-10,6;-1,7;B-;415;352,5;7,0;-2,4;-8,5;-1,2;TB;15/07/2025;5,0;Lucile DEOLIERE
H9;CCMH;1952A;25HDF4;g/L;XX;NK9;XX;338;269;354,6;6,1;-4,7;-16,6;-2,7;B-;415;352,5;7,0;-4,1;-14,5;-2,1;B-;15/07/2025;5,0;Lucile DEOLIERE
H9;CCMH;1952B;25HDF4;g/L;XX;NK9;XX;343;269;354,6;6,1;-3,3;-11,6;-1,9;B-;415;352,5;7,0;-2,7;-9,5;-1,4;B-;15/07/2025;5,0;Lucile DEOLIERE
H9;CCMH;1952;25HDF6;g/L;XX;NKR;XX;339;42;333,4;5,0;1,7;5,6;1,1;TB;434;336,3;5,9;0,8;2,7;0,5;TB;06/10/2025;5,0;Agnès LEONARD, Lucile DEOLIERE
H9;CCMH;1952A;25HDF6;g/L;XX;NKR;XX;328;42;333,4;5,0;-1,6;-5,4;-1,1;TB;434;336,3;5,9;-2,5;-8,3;-1,4;TB;06/10/2025;5,0;Agnès LEONARD
H9;CCMH;1952B;25HDF6;g/L;XX;NKR;XX;332;42;333,4;5,0;-0,4;-1,4;-0,3;TB;434;336,3;5,9;-1,3;-4,3;-0,7;TB;06/10/2025;5,0;Agnès LEONARD, Lucile DEOLIERE
H9;CCMH;1952;25HDF8;g/L;XX;NKR;XX;354;52;349,4;7,3;1,3;4,6;0,6;TB;430;350,3;7,4;1,1;3,7;0,5;TB;17/11/2025;5,0;Célia MASSON
H9;CCMH;1952A;25HDF8;g/L;XX;NKR;XX;348;52;349,4;7,3;-0,4;-1,4;-0,2;TB;430;350,3;7,4;-0,7;-2,3;-0,3;TB;17/11/2025;5,0;Célia MASSON
H9;CCMH;1952B;25HDF8;g/L;XX;NKR;XX;344;52;349,4;7,3;-1,5;-5,4;-0,7;TB;430;350,3;7,4;-1,8;-6,3;-0,9;TB;17/11/2025;5,0;Célia MASSON
;Conclusion cytologie du LCR;1952;25BZ01;;;XXX;XX;Réponse en commentaire libre;;Aspect compatible avec une hémorragie de ponction / ponction traumatique;;;;;TB;;;;;;;;12/03/2025;0,0;Edouard CORNET
;Conclusion cytologie du LCR;1952B;25BZ01;;;XXX;XX;Réponse en commentaire libre;;Aspect compatible avec une hémorragie de ponction / ponction traumatique;;;;;TB;;;;;;;;12/03/2025;0,0;Pauline KERNEVES
;Conclusion cytologie du LCR;1952C;25BZ01;;;XXX;XX;Réponse en commentaire libre;;Aspect compatible avec une hémorragie de ponction / ponction traumatique;;;;;TB;;;;;;;;12/03/2025;0,0;Carole GEARA-TESSON
;Conclusion cytologie du LCR;1952D;25BZ01;;;XXX;XX;Réponse en commentaire libre;;Aspect compatible avec une hémorragie de ponction / ponction traumatique;;;;;TB;;;;;;;;12/03/2025;0,0;Dina NAGUIB
